,story,query,target
0,"[Terry] bought a new dress for his daughter [Mozella]. [Lida], who is the sister of [Mozella], is a lovely girl. [Lida] and her uncle [Asberry] went to the pet shop. [Lida] saw a puppy that she loved, so [Asberry] bought it for her.","('Terry', 'Asberry')",brother
1,[Kit] and his wife [Christena] went on vacation this week. [Christena]'s brother [Felix] is looking after their dogs while her mother [Rosalia] waters the plants.,"('Rosalia', 'Kit')",son-in-law
2,[Matt] met his wife [Lutie] for dinner. [Matt]'s daughter [Beryl] stayed home to study. [Pedro] asked his wife [Beryl] if she did the shopping.,"('Lutie', 'Pedro')",son-in-law
3,"[Natalie] went to the beach with her husband [Oliver]. [Oliver] and his brother [Russell] went to the park to play basketball. [Dicie] was eager to spend time with her son, [Russell].","('Natalie', 'Dicie')",mother-in-law
4,"[Euphemia] planned a trip to the zoo for her brother, [Josh]. They had a great time. [Zack] went to visit his father [Walton] to the hospital, but [Zack]'s sister [Euphemia] could n't go.","('Josh', 'Walton')",father
5,"[Cordia] took her sister, [Dinah], out to dinner for her birthday. [Esther] went shoe shopping with her sister [Cordia]. [Vida] had a daughter named [Esther].","('Dinah', 'Vida')",mother
6,"[Ellsworth] played chess with his brother [Nick]. [Ellsworth] took his son [Tony] to the park to feed the squirrels. [Tony] and his grandmother [Daisie] went to the science museum. They both had fun, and learned some things, too.","('Nick', 'Daisie')",mother
7,"[Loma] was playing Monopoly with her brother, [Walton], and her sister, [Lillis]. [Tobias] called [Walton] from the other room and told his son that he needed help.","('Tobias', 'Lillis')",daughter
8,"[Douglas] and his sister [Elsa] were arguing about politics. [Ione], [Elsa]'s daughter, heard them, but did n't want to get involved in the fight. [Ione] went over to her uncle [Ishmael]'s house for dinner.","('Douglas', 'Ishmael')",brother
9,"[Shirley] is [Hedwig]'s older brother. He has never liked any of her boyfriends. [Martin] and [Hedwig] werent able to have children naturally, so they adopted [Zena] from sweden.","('Shirley', 'Zena')",neice
10,[Cecil] went to her brother [Harris]'s birthday party [Ross] bought to dress for his father [Harris] [Lemma] and her brother [Ross] enlisted in the army,"('Cecil', 'Lemma')",neice
11,[Rice] invited his father [Godfrey] and his brother [Darius] to go on a weekend fishing trip. [Darius] went to see his daughter [Magdalena] for parents day at college.,"('Godfrey', 'Magdalena')",granddaughter
12,"[Asa] took his daughter, [Vada], to a baseball game. [Hervey] loved his granddaughter, [Vada]. [Lincoln] bought to dress for his father [Hervey]","('Asa', 'Lincoln')",brother
13,"[Nellie] loves his granddaughter [Sada]. She loves him, too. [Bart] took his sister [Sada] out to lunch after learning that she got accepted into her first choice for university. [Janie] and [Bart] are siblings who are enjoying lunch together.","('Nellie', 'Janie')",granddaughter
14,"[Abe]'s father, [Johnie], was unhappy that he skipped school. [Johnie]'s sister, [Arminta]. said he should be more strict with [Abe] going forward. [Arminta] 'father [Hiram] became enraged when she failed to complete her homework. [Arminta] was grounded for a month and unable to spend time with friends.","('Abe', 'Hiram')",grandfather
15,[Gregorio] and his wife [Irma] went to the beach to watch the fireworks on the 4th of July. [Gregorio] took his daughter [Cherry] to the baseball game. [Cherry]'s brother [Erie] hates baseball and stayed home.,"('Irma', 'Erie')",son
16,"[Owen] and his sister [Viola] went out to eat with [Owen]'s mom [Eunice]. [Venie], [Eunice]'s mom, had to stay home.","('Venie', 'Viola')",granddaughter
17,[Mable] invited her brothers [Preston] and [Rubin] to her high school graduation. [Preston] took his son [Merle] to the park to feed the squirrels.,"('Rubin', 'Merle')",nephew
18,"[Ferdinand] told his wife [Addie] to pick up their daughter. [Addie] asked her daughter, [Guadalupe], if she had fun at school that day. [Guadalupe] answered that she and her sister, [Ann], had lots of fun together.","('Ferdinand', 'Ann')",daughter
19,"[Judith] took her daughter [Letty] out shopping for new clothes. [Letty]'s sister [Alta] came along. While she was there, [Alta] bought her brother [Clemente] a new shirt.","('Judith', 'Clemente')",son
20,"[Erasmus] and his wife [Ava] went to see a movie. [Ava]'s daughter, [Theodosia], came with them. [Theodosia] was mad at her son, [Tobe]. She found he'd been stealing from her purse.","('Erasmus', 'Tobe')",grandson
21,[Jewell] and her brother [Porter] went to see a movie. [Loyd] and his son [Porter] loved to go to the movies with [Loyd]'s sister [Lucretia].,"('Jewell', 'Lucretia')",aunt
22,"[Dosha] called her son, [Alvia], from upstairs so that he could eat lunch. [Alvia] got his sister, [Christine], so she could eat lunch as well. [Christine] wanted to visit her grandmother [Lovie], but [Lovie] was asleep.","('Dosha', 'Lovie')",mother
23,[Almer] and his son [Abner] went to the cinema together. [Almer] was excited to reveal the elaborate getaway he had planned for his wife [Josephine]. [Josephine] loves cooking for her son. His name is [Phil],"('Abner', 'Phil')",brother
24,"[Vance] wanted to ask his mom, [Maria] if he could go to a sleepover. He asked his grandfather, [Romeo] for advice. [Romeo] loved going to the store with his mom [Dessa]. She always bought him snacks","('Maria', 'Dessa')",grandmother
25,[Price] bought to dress for his father [Arlie] [Genie] enjoys playing cards with her brother. His name is [Price]. [Genie] loves to visit her grandfather [Pedro].,"('Arlie', 'Pedro')",father
26,[Gus] and his sister [Cecelia] have been best friends ever since childhood. [Cecelia] went to her brother [Washington]'s birthday party [Washington] loves visiting his grandmother [Calla] in Florida.,"('Gus', 'Calla')",grandmother
27,"[Asberry] and his wife [Elmira] baked a cake for [Ettie], his daughter. [Ettie] loves cooking for her son. His name is [Hoy]","('Elmira', 'Hoy')",grandson
28,"[Maggie] asked her husband [Art] to take out the trash. [Art] took it out quickly so he could get back to the game. [Art] and his daughter [Avis] took a day off school to go to the zoo. [Avis] went to her aunt [Alberta]'s house for dinner. [Alberta] made meatloaf, and it was delicious.","('Maggie', 'Alberta')",sister
29,[Carson] took his granddaughter [Virgie] to the movies and they enjoyed themselves. [Casper] likes to visit his sister. Her name is [Virgie]. [Gabriel] and his brother [Casper] always played pranks on each other,"('Carson', 'Gabriel')",grandson
30,"[Dollie] and her husband, [Clarence] are vacationing in the south of France this week. [Dollie] and her grandson, [Lewis], went out for lunch. [Lewis] loved hamburgers, and [Dollie] loved to watch him being happy and eating them. [Lewis] invited his sister [Elsie] to dinner this Friday because it is her birthday.","('Clarence', 'Elsie')",granddaughter
31,[Lottie] and her grandsons [Clinton] and [Enoch] picked berries from the garden. [Enoch]'s sister [Ella] ate a few of the berries.,"('Ella', 'Lottie')",grandmother
32,[Maryann] and her mother [Otto] made breakfast together. [Maryann] went over to her uncle [Stanton]'s house for dinner. [Stanton] played basketball with his brother [Pleasant].,"('Otto', 'Pleasant')",brother
33,"[Zula] spent a great day shopping with her daughter, [Clemmie]. [Clemmie] spent a great day shopping with her daughter, [Ava]. [Ava] went to the baseball game with her uncle [Donald].","('Zula', 'Donald')",son
